,EUA_xts,EUA_futures_xts,oil_xts,gas_xts,electricity_xts,coal_xts,DAX_xts,BE500_xts,Temp_xts
06/01/2013,-0.004774339,-0.004815151,0.001632803,0.009330044,0.109833439,-0.000747911,-0.001016038,-0.002645645,0.007519629
13/01/2013,-0.016222571,-0.017476478,-0.001743454,0.001680502,-0.000957399,-0.001442375,-0.000413156,-0.000155473,-0.03854679
20/01/2013,-0.023320046,-0.023572229,0.003462582,0.004950788,-0.012797449,-0.000560625,0.000156367,0.005291998,0.007972313
27/01/2013,-0.025751689,-0.026592684,-0.000998367,-0.006767366,-0.008312123,0.002128831,0.001981397,0.005445311,-0.004997222
03/02/2013,0.011190263,0.006089727,-0.000653871,0.005494204,-0.046831968,0.00132705,-0.002537281,0.004089844,0.030381106
10/02/2013,0.000434217,0.005624589,0.001840514,0.001748458,0.033711709,9.97E-05,-0.001180803,-0.001644064,-0.019370622
17/02/2013,0.019522321,0.018344075,-0.000287469,-0.004088162,0.038235181,-0.00132612,-0.000428535,-0.003320146,0.015495691
24/02/2013,-0.011104148,-0.008020097,-0.00279561,0.029375136,-0.002286624,-0.001490873,0.002216568,-0.0001353,-0.005956171
03/03/2013,-0.003098975,-0.005434045,-0.0025043,0.024405136,-0.010636926,-0.000228795,-0.000720585,-0.000141406,0.008110286
10/03/2013,-0.019434401,-0.019329935,0.002720005,-0.026160874,-0.036516879,-0.002567134,0.005244815,0.002600472,0.010947689
17/03/2013,-0.015797912,-0.017140564,0.002774919,0.014665262,-0.004912038,0.000671905,0.00064974,0.0021228,-0.019688545
24/03/2013,0.027508424,0.030930228,0.002111486,0.000212091,-0.009066303,-0.000749637,-0.002461577,-0.000471164,0.000188356
31/03/2013,0.0165319,0.017272068,0.004702737,-0.015716057,-0.04597782,-0.006224254,1.14E-06,-0.001454148,0.022860565
07/04/2013,0.008018136,0.007317987,-0.007781986,-0.007578802,0.121860142,0.000836766,-0.00410066,-0.004919844,0.000583783
14/04/2013,-0.011798699,-0.011915635,-0.006351159,-0.018096449,-0.054623529,0.000215146,0.001151429,0.00226329,0.037322224
21/04/2013,-0.067729312,-0.067004265,-0.001425578,-0.002027905,0.003050194,-0.001839156,-0.004725231,-0.004532189,-0.007677665
28/04/2013,0.01210589,0.011006205,0.008493247,0.001023888,-0.019201295,-0.001010754,0.007120291,0.005161836,0.003477409
05/05/2013,0.024550037,0.026633223,0.002726789,-0.005694746,0.016258607,0.001065186,0.004680141,0.003196446,0.017485379
12/05/2013,-0.021109655,-0.024298427,0.000434345,0.000966121,-0.023208562,-0.000190603,0.002850753,0.001750909,-0.005971621
19/05/2013,0.009972292,0.014599202,0.002813716,0.006235152,-0.02746893,0.000571049,0.002692117,0.003324675,0.010641843
26/05/2013,-0.001292834,-0.005216675,-0.003205864,-0.003061138,0.063024079,2.71E-05,-0.001348235,0.002199402,-0.014227122
02/06/2013,0.016018828,0.015889376,-0.004185564,-0.001591147,-0.048008334,-0.001280994,-0.000865735,-0.001810888,0.011540922
09/06/2013,0.005160458,0.005355539,0.002405807,-0.008246675,-0.003726514,-0.003604194,-0.000289097,-0.003204855,0.008096109
16/06/2013,0.031958489,0.030993601,0.002750472,0.000700157,-0.134639116,-0.002491874,-0.003948482,-0.003054439,0.005037108
